Model,MAE,RMSE,R2 Score
Gradient Boosting,1.9258042691140822,2.74729427860564,0.897078460594913
Random Forest,2.0838862745098017,2.9980031116152737,0.8774368064769662
Extra Trees,1.923382352941175,3.245008877778725,0.8564088451042846
Linear Regression,3.1476094364585245,4.9983442678463,0.659318743105167
Ridge Regression,3.144578128699834,4.998701346223843,0.6592700652833738
